Offense Parent Group,Offense,Report DateTime,0
LARCENY-THEFT,Theft From Motor Vehicle,2014,13874
LARCENY-THEFT,Theft From Motor Vehicle,2016,13199
LARCENY-THEFT,Theft From Motor Vehicle,2015,12678
LARCENY-THEFT,Theft From Motor Vehicle,2009,12643
LARCENY-THEFT,Theft From Motor Vehicle,2017,12529
LARCENY-THEFT,Theft From Motor Vehicle,2018,11728
LARCENY-THEFT,Theft From Motor Vehicle,2013,11720
LARCENY-THEFT,Theft From Motor Vehicle,2010,10957
LARCENY-THEFT,Theft From Motor Vehicle,2019,10753
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2020,10435
LARCENY-THEFT,Theft From Motor Vehicle,2008,10203
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2021,9878
LARCENY-THEFT,Theft From Motor Vehicle,2011,9822
FRAUD OFFENSES,Identity Theft,2020,9598
LARCENY-THEFT,Theft From Motor Vehicle,2021,9309
LARCENY-THEFT,Theft From Motor Vehicle,2020,9164
LARCENY-THEFT,Theft From Motor Vehicle,2012,9130
LARCENY-THEFT,Theft From Motor Vehicle,2022,8981
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2022,8771
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2018,8107
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2017,7802
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2019,7718
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2015,7566
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2016,7524
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2013,7308
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,2021,7303
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,2022,7280
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2014,7133
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,2008,7050
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2022,6937
LARCENY-THEFT,All Other Larceny,2022,6784
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2011,6772
LARCENY-THEFT,All Other Larceny,2019,6716
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,2020,6683
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,2018,6663
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,2017,6643
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2009,6641
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2008,6551
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2012,6525
LARCENY-THEFT,All Other Larceny,2018,6499
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2010,6448
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2022,6419
