,Theft From Motor Vehicle,Burglary/Breaking & Entering,Identity Theft,Destruction/Damage/Vandalism of Property,Motor Vehicle Theft,All Other Larceny,Theft of Motor Vehicle Parts or Accessories,Simple Assault,Shoplifting,Trespass of Real Property,Aggravated Assault,Intimidation,Drug/Narcotic Violations,Impersonation,Theft From Building,Credit Card/Automated Teller Machine Fraud,Robbery,Driving Under the Influence,False Pretenses/Swindle/Confidence Game,"Family Offenses, Nonviolent",Bad Checks,Stolen Property Offenses,Weapon Law Violations,Drug Equipment Violations,Wire Fraud,Prostitution,Counterfeiting/Forgery,Liquor Law Violations,Pocket-picking,Fondling,Rape,Arson,Embezzlement,Kidnapping/Abduction,Curfew/Loitering/Vagrancy Violations,Extortion/Blackmail,Sodomy,Purse-snatching,Purchasing Prostitution,Hacking/Computer Invasion,Murder & Nonnegligent Manslaughter,Pornography/Obscene Material,Sexual Assault With An Object,Theft From Coin-Operated Machine or Device,Animal Cruelty,Assisting or Promoting Prostitution,Peeping Tom,Statutory Rape,Welfare Fraud,"Human Trafficking, Commercial Sex Acts",Drunkenness,Justifiable Homicide,Incest,Negligent Manslaughter,Betting/Wagering,Bribery,"Human Trafficking, Involuntary Servitude",Operating/Promoting/Assisting Gambling,Gambling Equipment Violation
2023,834.0,886.0,76.0,754.0,862.0,577.0,572.0,554.0,339.0,200.0,328.0,324.0,85.0,8.0,181.0,74.0,180.0,176.0,62.0,5.0,2.0,93.0,82.0,2.0,26.0,,34.0,,4.0,21.0,14.0,19.0,2.0,28.0,,10.0,14.0,,,4.0,7.0,4.0,8.0,1.0,3.0,,2.0,,2.0,,,,,,,,,,
2022,8927.0,8666.0,751.0,7236.0,,,,5074.0,4323.0,2047.0,,2762.0,651.0,72.0,2044.0,703.0,1758.0,1301.0,580.0,75.0,34.0,,826.0,20.0,367.0,2.0,230.0,16.0,103.0,179.0,164.0,181.0,41.0,,6.0,,,15.0,28.0,62.0,,45.0,45.0,13.0,37.0,6.0,8.0,7.0,,12.0,,4.0,,1.0,,,,1.0,
2021,9333.0,9823.0,823.0,,5329.0,6239.0,5709.0,4683.0,3949.0,1825.0,3319.0,,356.0,111.0,1822.0,660.0,1753.0,990.0,441.0,61.0,27.0,611.0,578.0,37.0,,15.0,305.0,7.0,78.0,158.0,179.0,,36.0,184.0,13.0,112.0,80.0,29.0,30.0,,41.0,34.0,44.0,13.0,,5.0,5.0,7.0,3.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,,,
2020,9140.0,,,6658.0,4942.0,6102.0,3150.0,4755.0,3166.0,2624.0,2664.0,2877.0,933.0,130.0,1638.0,786.0,1489.0,998.0,572.0,43.0,38.0,620.0,618.0,70.0,514.0,6.0,372.0,29.0,75.0,180.0,179.0,171.0,68.0,130.0,23.0,105.0,69.0,27.0,21.0,65.0,48.0,39.0,43.0,24.0,26.0,,15.0,5.0,10.0,8.0,4.0,2.0,,,1.0,1.0,,,
2019,10757.0,7643.0,660.0,5804.0,3991.0,6667.0,1405.0,5593.0,4523.0,3914.0,2722.0,2868.0,1520.0,325.0,,1169.0,1555.0,1408.0,952.0,313.0,206.0,625.0,652.0,117.0,297.0,132.0,434.0,69.0,244.0,241.0,,111.0,93.0,123.0,46.0,95.0,75.0,50.0,,57.0,32.0,50.0,,33.0,17.0,12.0,15.0,5.0,3.0,,3.0,2.0,2.0,4.0,,,,,
2018,11714.0,8105.0,104.0,6651.0,4099.0,6560.0,1458.0,,,,2759.0,2489.0,1979.0,842.0,1949.0,1368.0,1701.0,1390.0,,885.0,416.0,704.0,,186.0,284.0,111.0,,82.0,216.0,,211.0,112.0,126.0,81.0,64.0,102.0,77.0,36.0,1.0,1.0,32.0,,20.0,,,9.0,16.0,5.0,1.0,,,2.0,5.0,,1.0,1.0,,1.0,
2017,12516.0,7790.0,48.0,6644.0,3705.0,5935.0,1393.0,5630.0,4767.0,3909.0,2547.0,2134.0,2129.0,1078.0,2128.0,1481.0,1541.0,1381.0,1032.0,913.0,476.0,495.0,783.0,196.0,249.0,363.0,315.0,89.0,176.0,262.0,197.0,149.0,143.0,78.0,60.0,79.0,61.0,36.0,1.0,1.0,27.0,22.0,19.0,26.0,,18.0,,12.0,2.0,2.0,,3.0,2.0,,3.0,2.0,,,
2016,13191.0,7549.0,35.0,6322.0,4175.0,5569.0,1430.0,5475.0,4809.0,2832.0,2219.0,2100.0,1636.0,1219.0,1924.0,1370.0,1553.0,1166.0,876.0,903.0,480.0,386.0,664.0,213.0,173.0,421.0,343.0,110.0,193.0,210.0,198.0,102.0,147.0,59.0,62.0,68.0,57.0,40.0,1.0,,20.0,13.0,10.0,14.0,,29.0,9.0,11.0,1.0,,,2.0,4.0,,,,,,
2015,12683.0,7593.0,22.0,5983.0,3873.0,6144.0,1170.0,5278.0,4423.0,2189.0,2105.0,2010.0,1432.0,1430.0,1958.0,1417.0,1548.0,1025.0,815.0,,456.0,336.0,708.0,180.0,161.0,317.0,414.0,111.0,203.0,211.0,115.0,92.0,186.0,39.0,47.0,40.0,29.0,33.0,,,26.0,14.0,7.0,18.0,,26.0,14.0,3.0,4.0,,,2.0,1.0,,2.0,1.0,,,
2014,,7135.0,16.0,5750.0,5497.0,6358.0,1529.0,5060.0,4304.0,1367.0,2012.0,1938.0,1037.0,,1939.0,1204.0,1579.0,1014.0,877.0,907.0,513.0,248.0,490.0,193.0,102.0,280.0,380.0,125.0,255.0,177.0,131.0,73.0,153.0,55.0,42.0,20.0,27.0,32.0,,,23.0,13.0,11.0,20.0,,,9.0,7.0,5.0,,,5.0,3.0,,1.0,,,,
2013,11730.0,7285.0,17.0,5720.0,4261.0,6072.0,1439.0,4881.0,4078.0,1235.0,1788.0,1863.0,1344.0,804.0,1923.0,1360.0,1601.0,1110.0,849.0,828.0,487.0,244.0,538.0,362.0,102.0,195.0,358.0,148.0,228.0,145.0,112.0,87.0,139.0,45.0,57.0,20.0,31.0,36.0,,,18.0,22.0,12.0,29.0,,26.0,16.0,8.0,1.0,,,,5.0,1.0,,,,,
2012,9132.0,6548.0,10.0,5665.0,3683.0,5355.0,1278.0,4974.0,4403.0,956.0,1939.0,1836.0,1569.0,667.0,1883.0,1376.0,1449.0,1272.0,666.0,761.0,508.0,211.0,517.0,442.0,113.0,239.0,333.0,184.0,174.0,164.0,121.0,74.0,134.0,60.0,55.0,25.0,34.0,47.0,,,24.0,14.0,13.0,21.0,,12.0,13.0,9.0,9.0,,,,,,2.0,,,,
2011,9819.0,6788.0,7.0,5725.0,3465.0,5203.0,1565.0,5044.0,3419.0,937.0,1782.0,2013.0,1688.0,571.0,1859.0,1181.0,1421.0,,552.0,897.0,542.0,238.0,610.0,374.0,83.0,408.0,315.0,193.0,207.0,173.0,96.0,83.0,125.0,47.0,77.0,7.0,27.0,61.0,,,22.0,11.0,8.0,34.0,,18.0,14.0,11.0,3.0,,,1.0,2.0,1.0,1.0,2.0,,,
2010,10954.0,6442.0,5.0,5995.0,3570.0,4989.0,1805.0,5125.0,3647.0,1165.0,1735.0,2189.0,2317.0,747.0,1907.0,,1423.0,1302.0,542.0,933.0,761.0,238.0,581.0,,56.0,,267.0,353.0,225.0,191.0,99.0,112.0,135.0,46.0,,17.0,11.0,55.0,,,18.0,11.0,5.0,29.0,,32.0,9.0,13.0,4.0,,,,2.0,1.0,1.0,1.0,,,
2009,12621.0,6616.0,4.0,6362.0,3398.0,4465.0,1715.0,5080.0,4322.0,1172.0,1729.0,2290.0,2190.0,590.0,1719.0,1518.0,,1237.0,624.0,911.0,,226.0,603.0,498.0,47.0,304.0,337.0,,,190.0,109.0,149.0,166.0,54.0,121.0,22.0,15.0,81.0,,,20.0,15.0,4.0,30.0,,23.0,8.0,,2.0,,,,1.0,1.0,,2.0,,,
2008,10216.0,6566.0,3.0,7032.0,3846.0,4641.0,1966.0,5505.0,4209.0,1281.0,1442.0,2043.0,,906.0,1647.0,1530.0,1668.0,1066.0,641.0,781.0,749.0,262.0,755.0,479.0,51.0,274.0,340.0,393.0,247.0,179.0,135.0,85.0,,54.0,102.0,27.0,19.0,,,,28.0,19.0,5.0,34.0,,26.0,13.0,14.0,1.0,,,,2.0,2.0,3.0,2.0,,1.0,
2007,70.0,76.0,6.0,64.0,29.0,133.0,24.0,24.0,5.0,2.0,6.0,24.0,3.0,210.0,42.0,47.0,7.0,,71.0,34.0,53.0,1.0,,1.0,7.0,,22.0,1.0,2.0,20.0,9.0,,48.0,1.0,,,5.0,,,,,1.0,1.0,,,3.0,,3.0,1.0,,,,1.0,,,,,,
2006,6.0,3.0,5.0,5.0,,19.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,99.0,3.0,9.0,,,7.0,19.0,10.0,,,,2.0,,2.0,,,3.0,3.0,,10.0,,,,2.0,,,,,,,,,,,2.0,,,,,3.0,,,,,,
2005,3.0,1.0,1.0,,2.0,5.0,,1.0,,,,4.0,,58.0,3.0,,,1.0,6.0,8.0,4.0,,,1.0,,1.0,5.0,,1.0,2.0,1.0,,7.0,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,
2004,2.0,2.0,5.0,4.0,2.0,5.0,1.0,,1.0,,2.0,,,40.0,1.0,2.0,,,1.0,8.0,3.0,,,,,,3.0,,,7.0,1.0,,3.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
2003,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,,,,,,22.0,3.0,1.0,,,2.0,7.0,,,,,,,,,,4.0,3.0,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,
2002,1.0,1.0,,1.0,1.0,,1.0,,,,,,,15.0,,2.0,,,1.0,3.0,3.0,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8.0,12.0,,4.0,,6.0,2.0,3.0,,1.0,2.0,2.0,,21.0,3.0,7.0,2.0,,4.0,6.0,3.0,,,,,,,,1.0,4.0,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,
2000,10.0,3.0,2.0,2.0,,4.0,2.0,3.0,,,1.0,2.0,,11.0,2.0,4.0,1.0,,2.0,8.0,3.0,,,,,,,,,6.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
1999,,,1.0,,,,,,,,,,,7.0,,1.0,,,,2.0,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1.0,,,,,4.0,,1.0,,,,,,5.0,2.0,,,,,5.0,1.0,,,,,,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
1997,,,,,,,,,,,1.0,,,6.0,,,,,1.0,2.0,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
1996,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
1994,,,,1.0,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1991,,,,,,,,,,,,,,8.0,,,,,,2.0,,,,,,,1.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1987,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1964,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1957,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1915,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
