,,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MOTOR VEHICLE THEFT,FRAUD OFFENSES,ROBBERY,TRESPASS OF REAL PROPERTY,DRUG/NARCOTIC OFFENSES,"FAMILY OFFENSES, NONVIOLENT",DRIVING UNDER THE INFLUENCE,WEAPON LAW VIOLATIONS,SEX OFFENSES,BAD CHECKS,COUNTERFEITING/FORGERY,PROSTITUTION OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,LIQUOR LAW VIOLATIONS,CURFEW/LOITERING/VAGRANCY VIOLATIONS,ARSON,KIDNAPPING/ABDUCTION,PEEPING TOM,EXTORTION/BLACKMAIL,PORNOGRAPHY/OBSCENE MATERIAL,HOMICIDE OFFENSES,"SEX OFFENSES, CONSENSUAL",ANIMAL CRUELTY,HUMAN TRAFFICKING,DRUNKENNESS,GAMBLING OFFENSES,LARCENY-THEFT,BRIBERY
1,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
1,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,1.0,,,0.75,,,,,,,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
1,1994,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1995,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
1,1996,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
1,1997,,,,,0.2857142857142857,,,,0.5,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
1,1998,1.0,,,,,,,,0.8,,,0.5,,,,,1.0,,,,,,,,,1.0,,,,,0.14285714285714285,
1,1999,,,,,,,,,0.5,,,0.25,,,,,,,,,,,,,,,,,,,,
